#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,recompute,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
256,65536,Mixtral-8x22B,64,1,1,4,8,4,8,1,7,1,full,53.87,31.48,6.40,11.81,0.00,4.19,0.00,0.00,11.11%
256,65536,Mixtral-8x22B,64,1,1,8,4,8,8,1,14,1,full,48.81,34.92,6.26,5.53,0.00,2.09,0.00,0.00,2.61%
256,65536,Mixtral-8x22B,64,1,1,8,8,2,4,1,7,1,full,69.50,55.10,6.40,5.91,0.00,2.09,0.00,0.00,5.88%
256,65536,Mixtral-8x22B,64,1,1,8,8,4,4,1,7,1,full,45.87,31.48,6.40,5.91,0.00,2.09,0.00,0.00,5.88%
256,65536,Mixtral-8x22B,64,1,1,8,8,8,4,1,7,1,full,34.06,19.66,6.40,5.91,0.00,2.09,0.00,0.00,5.88%
256,65536,Mixtral-8x22B,64,1,2,4,8,1,4,1,7,1,full,65.57,51.18,6.40,5.91,0.00,2.09,0.00,0.00,5.88%
256,65536,Mixtral-8x22B,64,1,4,1,8,1,8,1,7,1,full,47.98,25.59,6.40,11.81,0.00,4.19,0.00,0.00,11.11%
256,65536,Mixtral-8x22B,64,1,4,2,4,1,8,1,14,1,full,63.96,50.07,6.26,5.53,0.00,2.09,0.00,0.00,2.61%
256,65536,Mixtral-8x22B,64,1,4,2,8,1,4,1,7,1,full,39.98,25.59,6.40,5.91,0.00,2.09,0.00,0.00,5.88%
256,65536,Mixtral-8x22B,64,1,8,1,4,1,8,1,14,1,full,38.92,25.04,6.26,5.53,0.00,2.09,0.00,0.00,2.61%
256,65536,Mixtral-8x22B,64,1,8,1,8,1,4,1,7,1,full,27.19,12.79,6.40,5.91,0.00,2.09,0.00,0.00,5.88%
256,131072,Mixtral-8x22B,32,1,1,8,4,8,8,1,14,1,full,56.43,34.92,6.26,11.06,0.00,4.19,0.00,0.00,5.08%
256,131072,Mixtral-8x22B,32,1,1,8,8,4,4,1,7,1,full,53.87,31.48,6.40,11.81,0.00,4.19,0.00,0.00,11.11%
256,131072,Mixtral-8x22B,32,1,1,8,8,8,4,1,7,1,full,42.06,19.66,6.40,11.81,0.00,4.19,0.00,0.00,11.11%
256,131072,Mixtral-8x22B,32,1,4,2,8,1,4,1,7,1,full,47.98,25.59,6.40,11.81,0.00,4.19,0.00,0.00,11.11%
256,131072,Mixtral-8x22B,32,1,8,1,4,1,8,1,14,1,full,46.55,25.04,6.26,11.06,0.00,4.19,0.00,0.00,5.08%
256,131072,Mixtral-8x22B,32,1,8,1,8,1,4,1,7,1,full,35.19,12.79,6.40,11.81,0.00,4.19,0.00,0.00,11.11%
